"Time [s]","Force1.Force_x [newton]"
0,34.4613949068044
0.32,39.6646206059382
0.64,45.4921515956232
0.96,50.5879718131802
1.28,54.9346634542142
1.6,57.9393310005165
1.92,59.8067207276655
2.24,60.1773686873092
2.56,59.8744850500964
2.88,59.2652238182472
3.2,58.8263311368668
3.52,57.5203145492728
3.84,56.7559980975415
4.16,55.5205644702659
4.48,53.7550129131409
4.8,52.5410509117812
5.12,50.5396941671242
5.44,48.9973500645326
5.76,47.289384779599
6.08,45.477397607114
6.4,43.5963359702863
6.72,41.7569577648373
7.04,40.0523401246191
7.36,37.8387623028692
7.68,36.4250214977023
8,34.5385620514065
8.32,32.4250144997062
8.64,30.578124352718
8.96,28.8461969219887
9.28,27.1002321209629
9.6,24.8397492826405
9.92,23.3176554212284
10.24,21.3510359018772
10.56,19.4311231364534
10.88,17.9702229282152
11.2,16.3858274808916
11.52,14.699946672401
11.84,13.2994674703668
12.16,12.0502560472173
12.48,10.9331331998245
12.8,10.2295847537075
13.12,9.73108694877152
13.44,9.67267130448566
13.76,10.1625222770949
14.08,11.413290034743
14.4,13.4901771669965
14.72,16.6067160674378
15.04,20.636380429091
15.36,25.2150625376541
15.68,30.2620754730655
16,34.9675216283048
16.32,40.4972704027249
16.64,46.2848232460847
16.96,51.3996736833362
17.28,55.5125077644679
17.6,58.4785712505587
17.92,60.060848876295
18.24,61.1286974954165
18.56,60.9845842662088
18.88,59.9603080328973
19.2,59.1047910153372
19.52,58.1827830138174
19.84,57.523831364998
20.16,56.1654614271354
20.48,54.3390884677614
20.8,52.6909520563654
21.12,50.9139855877109
21.44,49.5508800963188
21.76,47.8269313005934
22.08,45.5996653155352
22.4,44.0108799236398
22.72,42.4756907441801
23.04,40.2490291516932
23.36,38.5313863395919
23.68,36.3850450585223
24,34.8608193149983
24.32,32.6680888286796
24.64,30.8633753779212
24.96,29.1433826411323
25.28,26.9653110407672
25.6,25.2096879598348
25.92,23.4311761582081
26.24,21.5644247990228
26.56,19.744488984212
26.88,17.7704781759837
27.2,16.3002794431804
27.52,14.8153326865555
27.84,13.2320283702161
28.16,11.8659779505294
28.48,10.9584714224667
28.8,10.0465252265488
29.12,9.52896973713078
29.44,9.45094999730361
29.76,9.96600996113332
30.08,11.1713067729649
30.4,13.2351078785731
30.72,16.308828970027
31.04,20.3441597577624
31.36,24.8996577532785
31.68,29.9296193090279
32,34.8918907484766
