"Time [s]","Force1.Force_x [newton]"
0,0.479115821842635
0.32,10.3892706100341
0.64,21.0485137893794
0.96,30.5124134911635
1.28,38.5372299368519
1.6,44.3865385882987
1.92,48.1041575347168
2.24,49.5690155098002
2.56,49.7669495391395
2.88,48.9472971558529
3.2,47.7729924286782
3.52,45.5048833188691
3.84,43.8355375806466
4.16,41.2485020150299
4.48,37.8925649610157
4.8,34.8223149453243
5.12,31.1572661958975
5.44,27.9646313058782
5.76,24.3459205532884
6.08,20.485258611772
6.4,17.1223430245425
6.72,13.2492399985483
7.04,9.45202083869734
7.36,5.55284608255382
7.68,2.15178155582985
8,-1.60248537700195
8.32,-5.71806062021431
8.64,-9.28748232250267
8.96,-12.663266930901
9.28,-16.341325523927
9.6,-20.4472525462648
9.92,-23.7196221348884
10.24,-27.3838296563902
10.56,-31.1152874655344
10.88,-34.143675970784
11.2,-37.537498007098
11.52,-40.4522161508548
11.84,-43.4113748101814
12.16,-46.6454221860008
12.48,-48.2317623439028
12.8,-50.0074045830237
13.12,-52.317665366079
13.44,-51.9678985849793
13.76,-51.4265760055467
14.08,-50.4261334808151
14.4,-45.7893631694337
14.72,-39.6802722831007
15.04,-31.3315379028638
15.36,-21.4701489345172
15.68,-10.4703478103727
16,-0.455397318634072
16.32,10.0116534188198
16.64,20.8829956530933
16.96,30.6626992932415
17.28,38.8534207133739
17.6,44.8805061625558
17.92,48.8720996790746
18.24,50.8499216356124
18.56,51.4785984426835
18.88,50.9300642798489
19.2,49.6661459663865
19.52,47.8844685990577
19.84,45.7663216101864
20.16,43.5427868269641
20.48,40.113427261886
20.8,37.0267592246614
21.12,33.9508567012675
21.44,30.7758868298139
21.76,27.1968727582129
22.08,23.2225478963524
22.4,19.9598377340579
22.72,16.5178911277009
23.04,12.4972722745513
23.36,9.00598456608951
23.68,5.17625474477036
24,1.53288946985991
24.32,-2.29235425696801
24.64,-6.10610694426569
24.96,-9.61998377524187
25.28,-13.7572932349995
25.6,-17.253293863491
25.92,-20.9918267462314
26.24,-24.3502433341643
26.56,-27.8117135810422
26.88,-31.3987856075935
27.2,-34.7681691102639
27.52,-37.6754232162778
27.84,-41.0471882845423
28.16,-43.6042399961351
28.48,-45.6854789735834
28.8,-47.5382412875402
29.12,-49.0075408229578
29.44,-50.3194625792272
29.76,-49.0584959095533
30.08,-48.5674796240913
30.4,-44.0812548471903
30.72,-38.3565233146151
31.04,-30.1591957877565
31.36,-20.5177355105106
31.68,-9.97241882789761
32,0.0903643016615505
